 [완료]	[完成]
포탈을 통해 각 스테이지로 이동할수 있습니다.	可經傳送門前往各副本。
포탈이 다시 활성화 되기까지 약간의 시간이 필요합니다	傳送門重新激活需要一点時間
폭발하는 거품을 소환합니다.	召喚爆裂氣泡。
플레이 시간 100분 달성	游玩時間達成100分鐘
플레이 시간 20분 달성	游玩時間達成20分鐘
플레이어가 기절했습니다. 마을로 돌아갑니다.	玩家暈倒了，返回村莊。
필요한 스킬은 잠금 기능을 활용해보세요.	需要的技能請用鎖定功能。
한 영혼이 스스로 영혼가방으로 들어왔습니다.	一個靈魂自己進入了靈魂背包。
해당 몬스터는 잠금상태입니다.	該怪物處于鎖定狀態。
햄젤이 나타났습니다. 마구 터치해보세요!	哈姆澤出現了，快点觸摸罷！
