 [완료]	[完成]
포탈을 통해 각 스테이지로 이동할수 있습니다.	可经传送门前往各副本。
포탈이 다시 활성화 되기까지 약간의 시간이 필요합니다	传送门重新激活需要一点时间
폭발하는 거품을 소환합니다.	召唤爆裂气泡。
플레이 시간 100분 달성	游玩时间达成100分钟
플레이 시간 20분 달성	游玩时间达成20分钟
플레이어가 기절했습니다. 마을로 돌아갑니다.	玩家晕倒了，返回村庄。
필요한 스킬은 잠금 기능을 활용해보세요.	需要的技能请用锁定功能。
한 영혼이 스스로 영혼가방으로 들어왔습니다.	一个灵魂自己进入了灵魂背包。
해당 몬스터는 잠금상태입니다.	该怪物处于锁定状态。
햄젤이 나타났습니다. 마구 터치해보세요!	哈姆泽出现了，快点触摸罢！
앱 삭제 시 세이브 데이터가 지워집니다. 	删除应用时记录会被消除。
한국어	中文版
法力 회복량 증가	法力回复量增加
네크로멘서 기본 능력치 상승	死灵法师基础能力上升
현재슬롯	当前槽位
아니오	否
마녀	魔女
체력 회복량 증가	体力回复量增加
초당 회복력	每秒恢复
스킬이 비어있습니다. \n위의 리셋버튼을 누르면 스킬을 배울수 있습니다.	技能栏空着，按上方\n重置开关可学习技能。
다시시작	重新开始
이동속도 증가	移速增加
축하합니다	恭喜
고양이 소환	小兽召唤
네크로멘서 레벨 리셋 	死灵法师等级重置
+ 마녀의상	+魔女时装
포탈을 터치해봅니다. 포탈을 통해 전투를 할수있는 스테이지 이동할수 있습니다.	试着触摸眼前的传送门罢，可经由传送门前往能够战斗的副本。
아바타 선택	选择形象
기본 소환 슬롯이 가득 찼습니다.	基本召唤槽位已满。
스킬을 갱신하시겠습니까?	要刷新技能？
광고 시청후	看完广告后
갱신	刷新
(네크로멘서 레벨이 리셋됩니다.)	（死灵法师等级已重置。）
스테이지를 클리어할수록 몬스터가 다양해집니다.	副本通关越多怪物越多样。
G등급 몬스터를 획득하면 명예의 전당에 등록됩니다. 	获得G级怪物将登记入名人堂。
공격속도 증가	攻速增加
영혼소환슬롯 증가	灵魂召唤槽增加
마나량 증가	法力增加
영혼소환 쿨타임 증가	灵魂召唤冷却增加
000 골드를 지급하였습니다.	已发放000金币。
추가 공격속도 00000	追加攻速00000
몬스터 100번 처치하기	讨伐怪物100次
몬스터 100번  소환하기	召唤怪物100次
네크로멘서 업그레이드 5회	死灵法师升级5次
겨울 고원 - 1 	冬高原-1
