01d0af10	获得了金币。
01d15d68	也请下载恶魔进化！
01d15d6c	请尽量多拯救怪物们的灵魂...不，精髓。定有重谢。
01d15d7c	品阶强化成功。
01d15d80	只有品阶和种类相同的怪物才能合成。
01d15d84	品阶提升失败。
01d15d8c	20级便打开怪物商店。
01d15d98	路西法大人...何以选中那孩子...
01d15dc4	回村庄看看罢，在村庄hp恢复非常快。
01d15dc8	须在村庄进行。
01d15dd8	每次多谢了，这次也麻烦了。
01d15ddc	要增加成员槽位？
01d15de4	已加入成员槽位！
01d15de8	成员槽位在死灵法师99级转生时增加。
01d15dec	成员槽位已满，请除名现有成员或增加槽位。
01d15df0	成员槽位已满，暂放后会存入背包。
01d15df4	成员槽位已增加！
01d15dfc	名人堂升级5次
01d15e00	据说几百年前这个村子由恶魔统治...
01d15e04	召唤怪物300次
01d15e08	讨伐怪物300次
01d15e0c	接近怪物会自动开始战斗。
01d15e10	在怪物商店购买 / 高品阶出现机率更高。
01d15e14	在怪物商店可买到多种怪物。
01d15e18	可永久升级怪物的基础能力。
01d15e1c	怪物晕倒也别担心， / 过段时间会苏醒的。
01d15e20	怪物们相当亲近。
01d15e28	触摸墓碑可与怪物一起战斗。
01d15e4c	触摸地面移动，之后也可自动移动。
01d15e70	首领挑战等级上升。
01d15e74	是否重置首领等级？
01d15e7c	首领召唤中。
01d15e88	也请光顾奉巴怪物商店。
01d15e90	在奉巴商店 / 能买到怪物，有时还有稀有怪物。
01d15eb8	挑战新的首领难度 / 怪物的等级上限会更高。
01d15ec4	想培养怪物的话 / 品阶越高就会越强。
01d15ed0	马上恢复全体召唤兽体力。
01d15ed4	召唤兽存入背包。
01d15ed8	随机恢复召唤兽体力。
01d15ef0	要更换技能？
01d15ef4	技能栏空着。 / 按上方重置开关可学习技能。
01d15ef8	技能已全部锁定。
01d15efc	副本难度越高 / 高品阶怪物出现机率越高。
01d15f00	副本难度已变更。
01d15f04	已击败副本首领！
01d15f0c	副本首领出现了。
01d15f24	槽位无法继续增加。
01d15f2c	通过神之试炼有满满的报酬，但会越来越难。
01d15f34	召唤出了非常强大的怪物，请检视图鉴领取报酬。
01d15f38	在遥远的地方看到了裂隙的征兆。
01d15f3c	精髓还差非常多。
01d15f40	删除应用时记录会被消除。
01d15f44	副本越难 / 高品阶怪物出现机率越高。
01d15f48	总有一天也带我一起去！
01d15f74	按自动开关 / 可在野外自动狩猎。
01d15f80	先触摸一下传送门罢。
01d15fac	这里是主人公的村庄。
01d15fb8	同一单位已在固定召唤中，暂放后会存入背包。
01d15fbc	这次也救救这些怪物罢。
01d15fc8	一定时间内召唤暴风雪。
01d15fcc	一定时间内召唤落雷。
01d15fd0	一定时间内召唤幽灵骑士。
01d15fd4	一定时间内召唤流星。
01d15fd8	需要等待一定时间。
01d15fe0	进入5秒后激活。
01d15fec	传说中的五人从恶魔手中给世界带来了和平。
01d16008	是否从成员中除名？
01d16014	帝王历725年，某村庄有能复活死者的少女。 / 但那少女是死灵法师，被那少女复活的只是不死活尸。 / 原本是受魔神恩惠的圣女兼死灵法师降生 / 而那少女到最后都自认是圣职者而活着。
01d16024	竟能复活死者...太勐了！
01d16028	死亡与诞生便是生命。
01d1603c	按创世神话，创造主 / '独自一人'创造了这个世界。
01d16048	按创世神话，创造主 / 竟'独自一人'创造了这个世界。
01d16058	秒后进入下一副本。
01d16088	取消则继续当前副本。
01d16090	任务成功，请向莉莉领取报酬。
01d160b8	可经传送门前往各副本。
01d160bc	传送门重新激活需要一点时间
01d160c0	召唤爆裂气泡。
01d160c8	游玩时间达成100分钟
01d160cc	游玩时间达成20分钟
01d160d0	玩家晕倒了，返回村庄。
01d160d4	需要的技能请用锁定功能。
01d160d8	一个灵魂自己进入了灵魂背包。
01d160f0	该怪物处于锁定状态。
01d160f8	哈姆泽出现了，快点触摸罢！
