01d0af04	 ゴールドを獲得しました。
01d158bc	メンバースロットがいっぱいになりました。 しばらく活動後、かばんに保管されます。
01d158c0	メンバースロットに追加されました!
01d158c4	メンバースロットはネクロマンサー99レベルに転生時に、追加されます。
01d158c8	モンスター300度召喚すること
01d158cc	モンスター300度殺すこと
01d158d0	モンスターが持った基本能力値を永久的にアップグレードすることができます。
01d158d4	モンスターたちがあなたを本当によくついているね。
01d158d8	モンスターの商店では様々なモンスターをすぐ購入することができます。
01d158dc	モンスターの商店で購入すれば / 高いランクが出てくる確率が高くて。
01d158e0	モンスターの近くに行くと自動的に戦闘を開始します。
01d158e4	モンスターは気絶しても心配しないで。 / 時間が経過すると、再び精神を取り戻すだろう。
01d158e8	ランクの種類が同じモンスター同士の合成ができます。
01d158ec	ランクアップに失敗しました。
01d158f0	ランク強化に成功しました。
01d158f4	ランダムヒル
01d158f8	リス
01d158fc	リセット
01d15900	リッチ
01d15904	リリー
01d15908	ルシファー
01d1590c	ルシファー様..どうしようとあんな子供に...
01d15910	レビューしますか?
01d15914	レビューする
01d15918	レベル20になると、モンスター商店を開いてあげる。
01d1591c	ロイ
01d15920	ワンピース
01d15948	一定時間がかかります。
01d1594c	一定時間の間、吹雪を召喚します。
01d15950	一定時間の間幽霊記事を召喚します。
01d15954	一定時間の間流星を召喚します。
01d15958	一定時間の間落雷を召喚します。
01d1595c	一度だけ購入
01d15978	今回はこのモンスターたちを救ってくれてごらん。
01d15984	伝説の5人が悪魔たちからこの世界に / 平和をもたらしたんだよ。
01d15988	伝説のウィザード
01d1598c	伝説の白騎士
01d15990	伝説の青記事
01d15994	伝説の黒騎士
01d159ac	入場後5秒が過ぎると活性化されます。
01d159b0	全体ヒル
01d159cc	分かりました 。リリー様。神聖なイシス様の力で、 / 最大限多くのモンスターたちを救ってみます!
01d159d0	南の森
01d159d4	南の森 - 1
01d159d8	南の森 - 2
01d159dc	南の森 - 3
01d159e0	南側の森でモンスターを救ってくれて来たんだね。 / 頼みが一つあるが、聞き入れてもらえない?
01d159e8	取消の際は、現在ステージでずっとプレーすることができます。
01d159f0	古い森
01d159f4	古い森 - 1
01d159f8	古い森 - 2
01d159fc	古い森 - 3
01d15a00	召喚ボーナス
01d15a04	召喚獣の体力をランダムで回復します。
01d15a08	召喚獣はかばんに保管されます。
01d15a0c	召喚獣全員の体力をすぐ回復します。
01d15a1c	同じモンスターであってもランクや追加能力値がちがう。
01d15a20	同じユニット、同じランクがなければ合成できません。
01d15a24	同じ種類のモンスターがすでにメンバースロットにあります。
01d15a28	名誉の殿堂アップグレード5回
01d15a2c	君には特別な力があるんだ。
01d15a30	君のそのうーん..その浄化する力でモンスターたちの / 真髄を救ってくれてほしいんだけどね。 
01d15a34	君の邪悪・・・いや、神聖な力で、 / 呪われたモンスターたちを救ってくれて。
01d15a44	固定で連れて歩くことができたモンスターは制限的だよ。
01d15a48	固定メンバーのレベルアップ10回
01d15a4c	墓をタッチすると、モンスターと共に戦闘することができます。
01d15a5c	大量販売しますか？
01d15a60	天気がいい!
01d15a64	宝箱を発見した!
01d15a68	小遣いもらうようにして。
01d15a74	帝王曆725年。 / ある村に死者を蘇らせる能力を持った少女がいた。 / しかし、彼女はネクロマンサーであり、 / その少女によって復活させたのはただ、 / 不死のゾンビであるだけだった / 魔神の恵みを受けた聖女であり、 / ネクロマンサーに生まれたが、 / 彼女は自分を聖職者だと / 勘違いして暮らしている。
01d15a84	幼なじみロイ
01d15a90	広告の削除、ダイヤ100
01d15a94	強力なボスと彼の部下が待っています。
01d15a98	彼女はネクロマンサーでモンスターたちを生かして / 味方にすることができます。
01d15a9c	必要なスキルはロック機能を活用してみてください。
01d15aa4	成長させたいモンスターがあれば / 高いランクに作れば、 / 強いモンスターがなれるよ.
01d15ab4	救ってくれたらする真髄がある。
01d15ab8	数百年前にこの村は悪魔たちが支配したとしてね。
01d15abc	新たなボスの難易度に挑戦すれば / モンスターたちのレベル限界制限がさらに高まり、。
01d15adc	更新するたびに使用できるスキルが増えます。(6スキルまで限界)
01d15ae0	最大レベルです。
01d15ae4	最後のレベルです。
01d15aec	本当にメンバーから除外しますか？
01d15af0	本当に販売しますか。
01d15af4	本当に転生しますか。
01d15afc	村だけで可能です。
01d15b00	村で行わなければなりません。
01d15b04	村に帰還してみましょう。 村ではhpの回復が早いです。 
01d15b24	死と誕生がまさに生命ともだそうだよ。
01d15b28	死者を蘇らせることができるなんて.. すごい！
01d15b2c	毎回ありがとう。今回もよろしく。
01d15b30	氷の妖精
01d15b3c	無限 / ダンジョン
01d15b40	爆発する泡を召喚します。
01d15b50	現在クールタイム
01d15b54	真奈が不足します。
01d15b58	神々の試験台を通過すると、大きな補償があるが、 / だんだんとても難しくなって。
01d15b60	私はこの村がいい。
01d15b64	私も一生懸命に修練して村を守らなければならない!
01d15b68	私も強くなれるかな?
01d15b74	秒後次のステージに移動します。
01d15b80	紙面をタッチすると、移動します。以降、自動移動も可能です。
01d15b94	該当モンスターはロック状態です。
01d15b9c	赤いローブ
01d15ba0	赤い砂漠
01d15ba4	赤い砂漠 - 1
01d15ba8	赤い砂漠 - 2
01d15bac	赤い砂漠 - 3
01d15bb0	赤の記事
01d15bb8	転生しますか。
01d15bbc	転生レベルが上がりました!
01d15bc4	追加ゴールド
01d15be4	金の記事
01d15bec	難しいステージほどモンスターも / 高いランクが出る可能性が高まって。
01d15bf0	難易度選択は村だけで可能です。
01d15bf8	魂召喚の最大数の増加
01d15bfc	魂召喚持続時間の増加
01d15c1c	黒魔女リリー
